      65.24.12.60 |   1   3.846 % |   1   0.148 %
     41.223.201.1 |   1   3.846 % |   1   0.148 %
     65.60.28.162 |   1   3.846 % |   1   0.148 %
    200.19.62.244 |   1   3.846 % |   1   0.148 %
    80.227.71.210 |   1   3.846 % |   1   0.148 %
    85.233.144.22 |   1   3.846 % |   1   0.148 %
    94.27.127.228 |   1   3.846 % |   1   0.148 %
   204.131.205.40 |   1   3.846 % |   1   0.148 %
   217.156.103.31 |   1   3.846 % |   1   0.148 %
  192.221.162.183 |   1   3.846 % |   1   0.148 %
       64.81.79.2 |   1   3.846 % |   1   0.148 %
    195.175.39.69 |   1   3.846 % |   1   0.148 %
    67.141.123.68 |   1   3.846 % |   1   0.148 %
   208.77.208.218 |   1   3.846 % |   1   0.148 %
   80.149.113.235 |   1   3.846 % |   1   0.148 %
   83.136.112.246 |   1   3.846 % |   1   0.148 %
      195.88.62.1 |   1   3.846 % |   1   0.148 %
     128.226.1.11 |   1   3.846 % |   1   0.148 %
    80.244.32.180 |   1   3.846 % |   1   0.148 %
   146.226.228.25 |   1   3.846 % |   1   0.148 %
   66.203.155.198 |   1   3.846 % |   1   0.148 %
   67.222.159.251 |   1   3.846 % |   1   0.148 %
   72.169.224.113 |   1   3.846 % |   1   0.148 %
      61.220.8.28 |   1   3.846 % |   1   0.148 %
    85.115.54.156 |   1   3.846 % |   1   0.148 %
   199.203.116.98 |   1   3.846 % |   1   0.148 %
       8.8.87.254 |   1   3.846 % |   1   0.148 %
    83.110.73.142 |   1   3.846 % |   1   0.148 %
    85.233.144.26 |   1   3.846 % |   1   0.148 %
   200.43.219.115 |   1   3.846 % |   1   0.148 %
   206.176.241.72 |   1   3.846 % |   1   0.148 %
   64.105.159.252 |   1   3.846 % |   1   0.148 %
  192.221.159.190 |   1   3.846 % |   1   0.148 %
     192.118.8.83 |   1   3.846 % |   1   0.148 %
     65.32.18.244 |   1   3.846 % |   1   0.148 %
    149.216.91.15 |   1   3.846 % |   1   0.148 %
    167.23.248.13 |   1   3.846 % |   1   0.148 %
    64.222.84.243 |   1   3.846 % |   1   0.148 %
     61.220.8.105 |   1   3.846 % |   1   0.148 %
    195.161.15.19 |   1   3.846 % |   1   0.148 %
    206.67.129.68 |   1   3.846 % |   1   0.148 %
    210.189.64.80 |   1   3.846 % |   1   0.148 %
    41.181.100.52 |   1   3.846 % |   1   0.148 %
    66.109.16.204 |   1   3.846 % |   1   0.148 %
    74.86.243.171 |   1   3.846 % |   1   0.148 %
   173.189.246.91 |   1   3.846 % |   1   0.148 %
      202.28.32.1 |   1   3.846 % |   1   0.148 %
     212.29.129.2 |   1   3.846 % |   1   0.148 %
     61.220.8.106 |   1   3.846 % |   1   0.148 %
     65.60.47.226 |   1   3.846 % |   1   0.148 %
     83.239.131.8 |   1   3.846 % |   1   0.148 %
    129.97.128.10 |   1   3.846 % |   1   0.148 %
    64.129.77.129 |   1   3.846 % |   1   0.148 %
    84.22.151.162 |   1   3.846 % |   1   0.148 %
   193.151.29.245 |   1   3.846 % |   1   0.148 %
      95.107.47.4 |   1   3.846 % |   1   0.148 %
     83.219.4.134 |   1   3.846 % |   1   0.148 %
    62.211.76.211 |   1   3.846 % |   1   0.148 %
    66.90.139.210 |   1   3.846 % |   1   0.148 %
   216.136.82.103 |   1   3.846 % |   1   0.148 %
  202.159.219.228 |   1   3.846 % |   1   0.148 %
      193.68.47.4 |   1   3.846 % |   1   0.148 %
     200.81.59.23 |   1   3.846 % |   1   0.148 %
     203.81.64.20 |   1   3.846 % |   1   0.148 %
     87.237.137.2 |   1   3.846 % |   1   0.148 %
     89.29.128.34 |   1   3.846 % |   1   0.148 %
    207.69.195.61 |   1   3.846 % |   1   0.148 %
  194.158.196.141 |   1   3.846 % |   1   0.148 %
      62.183.94.2 |   1   3.846 % |   1   0.148 %
     131.64.16.72 |   1   3.846 % |   1   0.148 %
     61.220.8.109 |   1   3.846 % |   1   0.148 %
   192.115.106.10 |   1   3.846 % |   1   0.148 %
   38.113.244.146 |   1   3.846 % |   1   0.148 %
       192.4.5.52 |   1   3.846 % |   1   0.148 %
       8.0.34.184 |   1   3.846 % |   1   0.148 %
      151.89.15.2 |   1   3.846 % |   1   0.148 %
     206.13.29.58 |   1   3.846 % |   1   0.148 %
     62.182.48.10 |   1   3.846 % |   1   0.148 %
    196.21.181.12 |   1   3.846 % |   1   0.148 %
    200.37.10.115 |   1   3.846 % |   1   0.148 %
   193.151.29.205 |   1   3.846 % |   1   0.148 %
   205.152.132.43 |   1   3.846 % |   1   0.148 %
   217.169.192.11 |   1   3.846 % |   1   0.148 %
  192.221.138.250 |   1   3.846 % |   1   0.148 %
     208.69.36.12 |   1   3.846 % |   1   0.148 %
    188.65.55.254 |   1   3.846 % |   1   0.148 %
    200.37.10.116 |   1   3.846 % |   1   0.148 %
    216.162.32.20 |   1   3.846 % |   1   0.148 %
    63.247.69.138 |   1   3.846 % |   1   0.148 %
   192.221.158.60 |   1   3.846 % |   1   0.148 %
   193.106.56.190 |   1   3.846 % |   1   0.148 %
   217.154.96.244 |   1   3.846 % |   1   0.148 %
   217.169.192.12 |   1   3.846 % |   1   0.148 %
      95.182.96.2 |   1   3.846 % |   1   0.148 %
     208.73.187.2 |   1   3.846 % |   1   0.148 %
     216.231.41.2 |   1   3.846 % |   1   0.148 %
    200.37.10.117 |   1   3.846 % |   1   0.148 %
    202.55.180.30 |   1   3.846 % |   1   0.148 %
    83.137.48.202 |   1   3.846 % |   1   0.148 %
   195.198.236.20 |   1   3.846 % |   1   0.148 %
  121.242.190.206 |   1   3.846 % |   1   0.148 %
  192.221.159.198 |   1   3.846 % |   1   0.148 %
