   Query_Type | #Occurences   | % of total records
        34295 | 1             | 0.000
        34201 | 1             | 0.000
         3407 | 1             | 0.000
        34036 | 1             | 0.000
        34014 | 1             | 0.000
        33987 | 1             | 0.000
        33730 | 1             | 0.000
        33489 | 1             | 0.000
     33487036 | 1             | 0.000
        33461 | 1             | 0.000
        33440 | 1             | 0.000
         3336 | 1             | 0.000
         3333 | 1             | 0.000
         3328 | 1             | 0.000
        33116 | 1             | 0.000
        33115 | 1             | 0.000
        33065 | 1             | 0.000
         3305 | 1             | 0.000
        33010 | 1             | 0.000
        32971 | 1             | 0.000
        32965 | 1             | 0.000
        32905 | 1             | 0.000
        32896 | 1             | 0.000
        32842 | 1             | 0.000
        32746 | 1             | 0.000
        32530 | 1             | 0.000
        32509 | 1             | 0.000
         3250 | 1             | 0.000
        32487 | 1             | 0.000
        32331 | 1             | 0.000
        32187 | 1             | 0.000
        32151 | 1             | 0.000
        32113 | 1             | 0.000
        32104 | 1             | 0.000
        32031 | 1             | 0.000
         3195 | 1             | 0.000
        31940 | 1             | 0.000
        31726 | 1             | 0.000
        31656 | 1             | 0.000
        31604 | 1             | 0.000
        31591 | 1             | 0.000
        31493 | 1             | 0.000
        31479 | 1             | 0.000
        31427 | 1             | 0.000
        31394 | 1             | 0.000
        31352 | 1             | 0.000
        31315 | 1             | 0.000
        31286 | 1             | 0.000
        31184 | 1             | 0.000
        31040 | 1             | 0.000
        30942 | 1             | 0.000
        30886 | 1             | 0.000
        30878 | 1             | 0.000
         3076 | 1             | 0.000
        30732 | 1             | 0.000
        30723 | 1             | 0.000
         3057 | 1             | 0.000
        30568 | 1             | 0.000
        30463 | 1             | 0.000
         3019 | 1             | 0.000
        30027 | 1             | 0.000
        30026 | 1             | 0.000
          299 | 1             | 0.000
        29818 | 1             | 0.000
        29816 | 1             | 0.000
        29674 | 1             | 0.000
        29541 | 1             | 0.000
        29419 | 1             | 0.000
        29344 | 1             | 0.000
         2933 | 1             | 0.000
        29155 | 1             | 0.000
         2915 | 1             | 0.000
        29034 | 1             | 0.000
        29004 | 1             | 0.000
        28922 | 1             | 0.000
        28785 | 1             | 0.000
        28769 | 1             | 0.000
        28700 | 1             | 0.000
        28678 | 1             | 0.000
        28640 | 1             | 0.000
        28627 | 1             | 0.000
        28620 | 1             | 0.000
        28580 | 1             | 0.000
        28539 | 1             | 0.000
        28455 | 1             | 0.000
        28428 | 1             | 0.000
        28402 | 1             | 0.000
        28309 | 1             | 0.000
        28275 | 1             | 0.000
        28260 | 1             | 0.000
         2817 | 1             | 0.000
        28057 | 1             | 0.000
        27946 | 1             | 0.000
        27900 | 1             | 0.000
